,haplotype,motif_type,class,fraction
0,HG01890_hap1,IR,Methylated,0.5404538713684545
1,HG01890_hap1,IR,Unmethylated,0.45954612863154554
2,HG01890_hap1,MR,Methylated,0.52414791757526
3,HG01890_hap1,MR,Unmethylated,0.47585208242474
4,HG01890_hap1,DR,Methylated,0.5422247928692634
5,HG01890_hap1,DR,Unmethylated,0.45777520713073655
6,HG01890_hap1,APR,Methylated,0.5499332567596933
7,HG01890_hap1,APR,Unmethylated,0.4500667432403067
8,HG01890_hap1,Z,Methylated,0.5526567278287462
9,HG01890_hap1,Z,Unmethylated,0.4473432721712538
10,HG01890_hap1,G4,Methylated,0.5584319141174632
11,HG01890_hap1,G4,Unmethylated,0.4415680858825369
12,NA19705_hap1,IR,Methylated,0.5411352128725154
13,NA19705_hap1,IR,Unmethylated,0.4588647871274846
14,NA19705_hap1,MR,Methylated,0.5267095706760423
15,NA19705_hap1,MR,Unmethylated,0.4732904293239577
16,NA19705_hap1,DR,Methylated,0.5397359768366295
17,NA19705_hap1,DR,Unmethylated,0.46026402316337045
18,NA19705_hap1,APR,Methylated,0.5407120815410511
19,NA19705_hap1,APR,Unmethylated,0.45928791845894895
20,NA19705_hap1,Z,Methylated,0.5541731066460587
21,NA19705_hap1,Z,Unmethylated,0.44582689335394127
22,NA19705_hap1,G4,Methylated,0.5626049677362327
23,NA19705_hap1,G4,Unmethylated,0.43739503226376736
24,HG01596_hap2,IR,Methylated,0.5175495200416542
25,HG01596_hap2,IR,Unmethylated,0.4824504799583458
26,HG01596_hap2,MR,Methylated,0.49784076228369717
27,HG01596_hap2,MR,Unmethylated,0.5021592377163029
28,HG01596_hap2,DR,Methylated,0.5071135221642994
29,HG01596_hap2,DR,Unmethylated,0.4928864778357006
30,HG01596_hap2,APR,Methylated,0.5217770619421516
31,HG01596_hap2,APR,Unmethylated,0.4782229380578485
32,HG01596_hap2,Z,Methylated,0.5308829300196206
33,HG01596_hap2,Z,Unmethylated,0.46911706998037933
34,HG01596_hap2,G4,Methylated,0.5305365378555673
35,HG01596_hap2,G4,Unmethylated,0.4694634621444327
36,NA19384_hap1,IR,Methylated,0.46304586619184446
37,NA19384_hap1,IR,Unmethylated,0.5369541338081555
38,NA19384_hap1,MR,Methylated,0.443675784334841
39,NA19384_hap1,MR,Unmethylated,0.556324215665159
40,NA19384_hap1,DR,Methylated,0.46471836482487233
41,NA19384_hap1,DR,Unmethylated,0.5352816351751276
42,NA19384_hap1,APR,Methylated,0.45970010923173676
43,NA19384_hap1,APR,Unmethylated,0.5402998907682632
44,NA19384_hap1,Z,Methylated,0.48437987005202715
45,NA19384_hap1,Z,Unmethylated,0.5156201299479729
46,NA19384_hap1,G4,Methylated,0.4981637969375437
47,NA19384_hap1,G4,Unmethylated,0.5018362030624564
48,HG00512_hap2,IR,Methylated,0.5145233446584777
49,HG00512_hap2,IR,Unmethylated,0.4854766553415223
50,HG00512_hap2,MR,Methylated,0.49646951901565994
51,HG00512_hap2,MR,Unmethylated,0.5035304809843401
52,HG00512_hap2,DR,Methylated,0.5098551186116861
53,HG00512_hap2,DR,Unmethylated,0.49014488138831397
54,HG00512_hap2,APR,Methylated,0.5236486486486487
55,HG00512_hap2,APR,Unmethylated,0.47635135135135137
56,HG00512_hap2,Z,Methylated,0.5289053183877892
57,HG00512_hap2,Z,Unmethylated,0.47109468161221085
58,HG00512_hap2,G4,Methylated,0.5480652692548129
59,HG00512_hap2,G4,Unmethylated,0.4519347307451871
60,HG03732_hap1,IR,Methylated,0.5507960460048333
61,HG03732_hap1,IR,Unmethylated,0.44920395399516666
62,HG03732_hap1,MR,Methylated,0.530209580612852
63,HG03732_hap1,MR,Unmethylated,0.46979041938714805
64,HG03732_hap1,DR,Methylated,0.5681174216042947
65,HG03732_hap1,DR,Unmethylated,0.43188257839570526
66,HG03732_hap1,APR,Methylated,0.566651559636643
67,HG03732_hap1,APR,Unmethylated,0.4333484403633569
68,HG03732_hap1,Z,Methylated,0.5680932365303782
